stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1419,1419,"Rt 19 at Townhall Rd",,42.0302619934,-80.060745,,,0,,0
142,142,"W 18th St at Peach St",,42.1181259155,-80.07914,,,0,,0
1420,1420,"Boyers Rv",,42.0389213562,-80.069138,,,0,,0
1425,1425,"S Lake St at E Main St",,42.2159156799,-79.834518,,,0,,0
1429,1429,"W Main St at N Pearl St",,42.2153663635,-79.837105,,,0,,0
1430,1430,"W Main St at N Mill St",,42.2138900757,-79.84201,,,0,,0
1431,1431,"W Main St at Speedway Dr",,42.2117500305,-79.846428,,,0,,0
1432,1432,"W Main Rd at Appletree Ln",,42.2100219727,-79.851379,,,0,,0
1433,1433,"W Main Rd at Cemetery Rd",,42.2087554932,-79.855034,,,0,,0
1434,1434,"W Main Rd at Park Lane Rd",,42.2068901062,-79.859657,,,0,,0
1435,1435,"W Main Rd at Poplar Ln",,42.2054595947,-79.863144,,,0,,0
1436,1436,"W Main Rd opp Williams Rd",,42.2012062073,-79.873337,,,0,,0
1437,1437,"W Main Rd at N Brickyard Rd",,42.1982116699,-79.881668,,,0,,0
1438,1438,"W Main Rd at Catholic Cemetery Rd",,42.1957626343,-79.888618,,,0,,0
1439,1439,"Buffalo Rd at Moorheadville Rd",,42.1920127869,-79.91021,,,0,,0
144,144,"W 18th St at Myrtle St",,42.1163406372,-80.084015,,,0,,0
1440,1440,"Buffalo Rd at Highmeyer Rd",,42.1827545166,-79.927261,,,0,,0
1441,1441,"Buffalo Rd at Janes Ln",,42.1749382019,-79.941246,,,0,,0
1442,1442,"Buffalo Rd at Bartlett Rd",,42.1715240479,-79.947746,,,0,,0
1443,1443,"Buffalo Rd opp Fiddle Inn",,42.1683158875,-79.953049,,,0,,0
1445,1445,"Janet Miller Bldg",,42.1897544861,-79.832611,,,0,,0
1446,1446,"Buffalo Rd at Bartlett Rd",,42.1712913513,-79.947792,,,0,,0
1447,1447,"Buffalo Rd at Davison Rd",,42.175163269,-79.940147,,,0,,0
1448,1448,"Buffalo Rd at King Rd",,42.188129425,-79.919121,,,0,,0
1449,1449,"Buffalo Rd at Moorheadville Rd",,42.1918182373,-79.910225,,,0,,0
145,145,"W 18th St at Chestnut St",,42.1154556274,-80.086403,,,0,,0
1450,1450,"Buffalo Rd at Haskell Rd",,42.1941261292,-79.894928,,,0,,0
1451,1451,"W Main Rd at Brickyard Rd",,42.1979064941,-79.881905,,,0,,0
