route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
28,39,t731-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t77A-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9405_shp,0,0
28,39,t791-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9401_shp,0,0
28,39,t7DA-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t80B-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t851-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t861-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9456_shp,0,0
28,39,t8A7-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t900-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t91E-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,43,t222-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t26D-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,43,t271-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t2BC-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,43,t2C1-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t2E4-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,43,t2EE-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t33B-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t33E-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,43,t38B-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,43,t38E-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t3B6-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,43,t3BD-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t40D-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9393_shp,0,0
28,43,t40E-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t45E-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,43,t461-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t4B1-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,43,t4B5-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t4DD-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,43,t4DE-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t52E-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,43,t531-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t581-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,43,t585-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9397_shp,0,0
28,43,t5AD-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
